PLAYER,POS,AGE,TEAM,G,MP,PER,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,VORP,SEASON,AdjustedSalary,AdjustedPayroll,MinutesPG,TS%,AdjustedSalaryCap
Bruno Fernando,C,21,ATL,56,713,11.9,0.186,0.256,15,9.9,1.2,2,15.9,15.3,-3.2,-0.9,-0.4,2020,1400000,116954541,12.73214286,0.542,111159664
Cam Reddish,SF,20,ATL,58,1551,9,0.451,0.227,7.5,8,1.9,1.5,13.6,18.9,-3.3,-1,-0.9,2020,4245720,116954541,26.74137931,0.5,111159664
Damian Jones,C,24,ATL,55,887,15.6,0.051,0.472,12.5,5.6,1.4,3.8,11.5,11.4,-1.6,0.1,0.1,2020,2305057,116954541,16.12727273,0.712,111159664
DeAndre Bembry,SG,25,ATL,43,915,9.6,0.285,0.211,8.9,12.3,2.8,1.7,19.4,14,-3.5,1.1,-0.1,2020,2603981,116954541,21.27906977,0.5,111159664
De'Andre Hunter,SF,22,ATL,63,2018,8.6,0.445,0.211,7.6,8,1,0.7,12.1,17.5,-2.9,-1.8,-1.4,2020,7068360,116954541,32.03174603,0.521,111159664
Kevin Huerter,SG,21,ATL,56,1760,11.5,0.548,0.105,7,17.5,1.4,1.3,12,17.1,-0.7,-0.9,0.2,2020,2636280,116954541,31.42857143,0.536,111159664
Trae Young,PG,21,ATL,60,2120,23.9,0.455,0.448,6.5,45.6,1.4,0.3,16.2,34.9,6.2,-2.3,3.1,2020,6273000,116954541,35.33333333,0.595,111159664
Vince Carter,SF,43,ATL,60,876,7.5,0.664,0.095,7.6,7.7,1.2,2.4,9.4,16.6,-3.1,-1.2,-0.5,2020,2564753,116954541,14.6,0.47,111159664
Brad Wanamaker,PG,30,BOS,71,1369,12.8,0.282,0.376,5.6,17.8,2.2,0.9,15.3,15.5,-1.9,1.3,0.5,2020,1445697,119306269,19.28169014,0.577,111159664
Daniel Theis,C,27,BOS,65,1566,17.9,0.225,0.268,14.6,10.1,1.1,5,10.2,14.4,0.6,1.8,1.7,2020,5000000,119306269,24.09230769,0.631,111159664
Enes Kanter,C,27,BOS,58,983,22.4,0.02,0.284,23.5,8.8,1.1,3.9,12.5,19.4,1.8,-0.3,0.9,2020,4767000,119306269,16.94827586,0.599,111159664
Gordon Hayward,SF,29,BOS,52,1740,18.1,0.317,0.207,10.7,18.7,1.1,1.2,11.2,21.1,2.6,0.1,2,2020,32700690,119306269,33.46153846,0.595,111159664
Grant Williams,PF,21,BOS,69,1043,7.9,0.455,0.256,9.1,8.5,1.4,3.2,17.6,11.6,-4.1,1.4,-0.2,2020,2379840,119306269,15.11594203,0.505,111159664
Jaylen Brown,SF,23,BOS,57,1934,16.9,0.381,0.274,10.1,9.7,1.6,1,11.2,24.7,1,-0.2,1.4,2020,6534829,119306269,33.92982456,0.583,111159664
Jayson Tatum,PF,21,BOS,66,2265,20.4,0.383,0.255,10.9,14.5,2,2.3,10.2,28.6,3.5,0.6,3.4,2020,7830000,119306269,34.31818182,0.567,111159664
Kemba Walker,PG,29,BOS,56,1742,20,0.532,0.272,6.7,24.2,1.3,1.5,10.5,27.2,4.9,-0.3,2.9,2020,32742000,119306269,31.10714286,0.575,111159664
Marcus Smart,SG,25,BOS,60,1919,13.8,0.579,0.223,6.3,21.1,2.5,1.4,12.1,18.9,0,1.4,1.6,2020,12553571,119306269,31.98333333,0.518,111159664
Semi Ojeleye,PF,25,BOS,69,1011,7.7,0.648,0.163,7.7,4.7,1,0.5,8.3,9.7,-2.1,0.4,0.1,2020,1618520,119306269,14.65217391,0.562,111159664
Caris LeVert,SG,25,BRK,45,1330,16.1,0.301,0.269,7.4,25,1.9,0.6,12.6,29.5,0.6,-0.9,0.5,2020,2625717,126993796,29.55555556,0.514,111159664
DeAndre Jordan,C,31,BRK,56,1234,19.9,0,0.425,23.5,12.6,0.7,3.5,17.8,14.1,1.2,1.8,1.5,2020,9881598,126993796,22.03571429,0.682,111159664
Garrett Temple,SG,33,BRK,62,1730,10.5,0.658,0.148,6.5,12.8,1.3,1.4,9,16.6,-1.4,0.3,0.4,2020,4767000,126993796,27.90322581,0.513,111159664
Jarrett Allen,C,21,BRK,70,1852,20.7,0.013,0.581,18.7,8.9,1,4.2,11.7,14.9,1.4,1,2,2020,2376840,126993796,26.45714286,0.664,111159664
Joe Harris,SF,28,BRK,69,2123,13.3,0.518,0.114,7.3,10.4,0.9,0.7,11.2,18.3,0.4,-0.6,1,2020,7666667,126993796,30.76811594,0.606,111159664
Rodions Kurucs,PF,21,BRK,47,684,8.9,0.508,0.215,10.4,10.4,1.7,0.6,19.2,14.7,-3.6,0.8,-0.1,2020,1699236,126993796,14.55319149,0.555,111159664
Spencer Dinwiddie,SG,26,BRK,64,1994,17.8,0.392,0.437,5.7,35,0.9,0.9,12.5,29.2,2.7,-0.8,1.9,2020,10605600,126993796,31.15625,0.541,111159664
Taurean Prince,SF,25,BRK,64,1857,9.1,0.583,0.12,10.6,9.2,1.5,1.1,14,20.4,-2.8,-0.1,-0.4,2020,3481985,126993796,29.015625,0.497,111159664
Timothe Luwawu,SG,24,BRK,47,853,11,0.595,0.301,7.7,4.9,1,0.7,10.8,16.8,-1.8,-0.5,-0.1,2020,837583,126993796,18.14893617,0.599,111159664
Coby White,SG,19,CHI,65,1674,11.9,0.475,0.163,7.6,16.5,1.4,0.3,11.4,24.4,-1.2,-1.6,-0.4,2020,5307120,117090132,25.75384615,0.506,111159664
Daniel Gafford,C,21,CHI,43,609,16.2,0,0.448,9.6,5.2,1,8.7,15.3,13.3,-2.8,1.5,0.1,2020,898310,117090132,14.1627907,0.686,111159664
Kris Dunn,PG,25,CHI,51,1269,12.1,0.327,0.158,8.1,19.4,3.8,1.3,15.7,14.6,-3.7,3.1,0.4,2020,5348007,117090132,24.88235294,0.51,111159664
Lauri Markkanen,PF,22,CHI,50,1492,14.3,0.536,0.259,11.6,7.6,1.4,1.5,11,21.1,0.2,-0.8,0.5,2020,5300400,117090132,29.84,0.56,111159664
Ryan Arcidiacono,PG,25,CHI,58,930,9,0.627,0.173,6.5,14.3,1.4,0.3,13.5,12.5,-2.7,-0.1,-0.2,2020,3000000,117090132,16.03448276,0.551,111159664
Thaddeus Young,PF,31,CHI,64,1591,13.3,0.369,0.12,10.9,11.3,2.8,1.4,13.9,19.7,-1.4,0.2,0.3,2020,12900000,117090132,24.859375,0.521,111159664
Tomas Satoransky,PG,28,CHI,65,1878,13.5,0.361,0.22,7.5,27.1,2.1,0.4,17.7,16.7,-1.1,-0.2,0.3,2020,10000000,117090132,28.89230769,0.533,111159664
Zach LaVine,SG,24,CHI,60,2085,19.4,0.404,0.279,7.7,21.7,2,1.3,13.3,31.7,3.2,-0.8,2.4,2020,19500000,117090132,34.75,0.568,111159664
Bismack Biyombo,C,27,CHO,53,1029,16.1,0,0.543,16.3,7.8,0.5,4.4,12.2,16.8,-1.8,-0.7,-0.1,2020,17000000,122870739,19.41509434,0.57,111159664
Cody Martin,SF,24,CHO,48,903,10.5,0.372,0.314,9.6,15.7,2.2,0.9,15.7,13.6,-3.1,1,0,2020,1173310,122870739,18.8125,0.505,111159664
Cody Zeller,C,27,CHO,58,1341,18.8,0.157,0.374,16.7,11.3,1.5,1.7,11.9,20.8,0.2,-0.8,0.5,2020,14471910,122870739,23.12068966,0.576,111159664
Devonte Graham,PG,24,CHO,63,2211,15.8,0.607,0.242,5.2,35.3,1.4,0.6,14.5,24.8,2.5,-2.1,1.4,2020,1416852,122870739,35.0952381,0.537,111159664
Malik Monk,SG,21,CHO,55,1169,12.6,0.418,0.205,7.3,16.6,1.1,1.3,12.6,22.9,-1.1,-1.3,-0.1,2020,4028400,122870739,21.25454545,0.53,111159664
Miles Bridges,SF,21,CHO,65,1995,12.1,0.398,0.174,9.9,9.4,1,2.2,10.5,20,-1.5,-1,-0.3,2020,3755400,122870739,30.69230769,0.52,111159664
Terry Rozier,PG,25,CHO,63,2164,14.8,0.45,0.202,7,20.4,1.4,0.4,12.1,23.7,0.8,-1.2,0.8,2020,19894737,122870739,34.34920635,0.553,111159664
Cedi Osman,SF,24,CLE,65,1910,10.7,0.527,0.154,6.7,11.6,1.4,0.7,12.3,16.6,-1.7,-0.9,-0.3,2020,2907143,131371296,29.38461538,0.552,111159664
Collin Sexton,SG,21,CLE,65,2143,16.3,0.235,0.246,5.3,15.1,1.5,0.3,11.6,27.2,0.3,-2.1,0.1,2020,4764960,131371296,32.96923077,0.56,111159664
